objid ra dec
1237665565541597386 233.798567 16.548445
1237665565541597396 233.801359 16.550769
1237667783928971283 234.238031 16.062159
1237665565541597393 233.788819 16.556174
1237665565541597382 233.799129 16.547180
1237668367995896029 234.417873 16.176608
1237665565541597394 233.788130 16.552901
1237668336320774200 234.007524 16.765775
1237667783928971359 234.324016 16.065865
