NSA126157    1.27242867    -7.0933808
NSA127226    8.6948403    -8.3964449
NSA5916    10.86603375    -0.124941
NSA127782    12.35896755    -1.7712328
NSA129140    19.998321    14.786227
NSA129387    21.016275    12.917462
NSA129431    21.1388685    3.8006638
NSA131295    32.2447155    -7.0589262
NSA23274    32.4108135    -10.146169
NSA155005    35.4019935    -5.5212706
NSA132273    38.7920355    20.851379
NSA155204    41.6414475    -0.24713745
NSA133120    45.9956625    43.39843
NSA133355    50.527329    -15.399929
NSA155576    52.555272    -5.5433161
NSA133810    67.076919    -5.1787715
NSA134212    82.0083    -5.3107403
NSA76316    119.257761    49.56744
NSA134821    121.0244325    5.1138253
NSA64342    125.687373    24.296966
NSA156839    130.0945995    23.539671
NSA156881    131.498097    12.619872
NSA32    145.5136905    0.33645159
NSA158901    163.01613    10.148317
NSA138634    165.74859    -16.289338
NSA41075    167.73699    53.387834
NSA159593    169.58886    45.748192
NSA159789    171.260235    -9.7953477
NSA139467    172.045935    25.661165
NSA37217    172.138545    58.561929
NSA160084    173.418855    61.888075
NSA140259    176.8932    55.967313
NSA160608    177.32817    26.121578
NSA102480    179.690295    27.452434
NSA48849    182.04012    10.378932
NSA140895    182.971335    24.125081
NSA169846    183.44694    13.424831
NSA161509    184.98366    5.3433395
NSA161726    186.42837    0.57265108
NSA141565    187.8423    57.964642
NSA142509    193.669245    28.938659
NSA142728    194.86857    28.085405
NSA56408    207.26895    39.497651
NSA143975    208.024605    -6.0582612
NSA144045    208.501095    -7.9306647
NSA165091    217.45758    49.622648
NSA145188    217.606305    35.321012
NSA56725    219.311235    38.454266
NSA165440    220.63851    28.726449
NSA53553    224.27829    49.669011
NSA165952    227.304885    52.528519
NSA146210    232.692195    -2.8294946
NSA166313    234.132015    16.607774
NSA166440    236.74536    17.884172
NSA147100    248.087295    19.82643
NSA147103    248.16306    78.198238
NSA148472    284.901165    19.424307
NSA168145    328.640115    2.9431474
NSA149454    329.10105    73.260608
NSA149889    337.88679    30.955921
NSA150238    342.90873    -5.5574298
NSA150440    345.015    15.980233
NSA169169    350.97498    9.6671938
NSA151537    351.66573    25.080252
NSA25728    353.101785    15.847886
NSA151874    353.12784    14.815838
NSA169528    356.08815    9.9341229
