DLG1    119.257761    49.56744
DLG2    134.71031    6.29298
DLG3    45.9956625    43.39843
DLG4    131.498097    12.619872
DLG5    171.260235    -9.7953477
DLG6-IMACS    180.09843    -1.10008
NSA147100-MOSTDONE    248.088    19.8264
NSA150238-N7393-IMACS    342.90873    -5.55743
NSA32-sdssbad    145.51365    0.336452
NSA13927    180.6765    1.9768
NSA16559    154.887    58.2058
NSA33446    123.24135    36.2546
NSA41075    167.7375    53.3878
NSA52773    193.842    58.3442
NSA53145    211.797    55.0017
NSA61945    354.1305    0.297265
NSA63326    248.6055    21.5409
NSA69028    210.708    49.1726
NSA74567    159.1605    14.1711
NSA82428    111.64755    43.2964
NSA87606    179.433    32.2941
NSA90222    163.047    32.9504
NSA94217    209.2335    29.1644
NSA99614    240.5055    18.8157
NSA101649    172.002    29.5111
NSA126133    1.128255    5.20028
NSA128381    15.8412    -6.33917
NSA129387    21.01635    12.9175
NSA129431    21.1389    3.80066
NSA129533    21.3222    9.26422
NSA132339    39.5481    -1.31876
NSA133355    50.52735    -15.3999
NSA133953    72.1368    -6.57005
NSA134212    82.0083    -5.31074
NSA134737    119.3073    23.7678
NSA135440    130.6659    14.2856
NSA138217    162.927    43.7126
NSA139467    172.0455    25.6612
NSA139920    174.3495    61.7594
NSA140004    174.927    31.9094
NSA140259    176.8935    55.9673
NSA140458    178.989    6.74927
NSA140827    182.1345    68.7677
NSA140895    182.9715    24.1251
NSA141465    187.212    -1.93918
NSA141475    187.263    13.1838
NSA141565    187.842    57.9646
NSA141863    190.1535    -5.13277
NSA142335    191.982    -1.65605
NSA142509    193.6695    28.9387
NSA143555    202.548    46.6707
NSA143856    206.598    43.8724
NSA143975    208.0245    -6.05826
NSA144045    208.5015    -7.93066
NSA144113    209.0265    59.7421
NSA144151    209.271    41.8463
NSA144521    211.6725    50.7233
NSA145188    217.6065    35.321
NSA145314    218.874    48.7416
NSA145682    223.4895    3.54445
NSA145729    224.595    -1.09102
NSA145879    227.4555    0.470085
NSA145967    228.768    -10.0861
NSA146210    232.692    -2.82949
NSA147606    255.21    23.011
NSA148188    265.911    25.4939
NSA148275    267.9465    24.4836
NSA148472    284.901    19.4243
NSA148735    309.753    -4.97252
NSA149781    335.913    -3.43167
NSA150307    343.923    -5.49535
NSA150340    344.331    -1.04903
NSA150440    345.015    15.9802
NSA151137    349.902    8.06339
NSA153017    359.856    20.7498
NSA154089    19.9371    3.40984
NSA155005    35.40195    -5.52127
NSA155204    41.6415    -0.247137
NSA155274    43.51125    2.96207
NSA155420    46.7184    -0.794499
NSA156022    93.79275    25.378
NSA157374    145.22475    5.16581
NSA157495    148.03395    29.2362
NSA158541    159.0675    37.3247
NSA158901    163.0155    10.1483
NSA159593    169.5885    45.7482
NSA159747    170.9115    53.8422
NSA159756    170.9925    38.5623
NSA159804    171.3765    63.4464
NSA160524    176.4405    10.8246
NSA161509    184.983    5.34334
NSA161726    186.429    0.572651
NSA161987    188.199    63.9392
NSA162547    193.4625    9.71003
NSA162580    193.7625    8.06553
NSA163136    197.904    22.9155
NSA163652    203.043    62.7678
NSA163956    206.3295    41.7125
NSA164374    210.1905    59.3284
NSA165091    217.458    49.6227
NSA165153    218.0235    57.9215
NSA165536    221.547    -0.222942
NSA165832    224.6655    53.886
NSA165952    227.3055    52.5285
NSA165955    227.382    54.5065
NSA166313    234.132    16.6078
NSA166440    236.745    17.8842
NSA169570    356.7435    6.86185
NSA169846    183.447    13.4248
NSA169911    187.749    8.07791
